============================================================
Time  2018/05/22 12:57:09 136 
============================================================
[2018/05/22 12:57:09 136] isr        28   isr loaded!  
[2018/05/22 12:57:09 136] isr        48   wifi  
[2018/05/22 12:57:09 145] isr_1conn  1946 SYS_MSG_LOAD  
[2018/05/22 12:57:09 145] isr_1conn  1305 onesoc  
[2018/05/22 12:57:09 145] isr_1conn  1306 ISR_MSG_SSB  
[2018/05/22 12:57:09 146] isr_1conn  1316 isr  cisr1PdHHBHcmzBv-GBKH3C2klsCktjmEo  268436457  1408347573  
[2018/05/22 12:57:09 146] isr_1conn  1485 nil  
[2018/05/22 12:57:09 146] isr_1conn  1562 speex-wb  
[2018/05/22 12:57:09 146] isr_1conn  1628 once bytes  122  
[2018/05/22 12:57:09 155] isr_1conn  1662 User set url is   nil  
[2018/05/22 12:57:09 155] transport  536  paramkvsport is   nil  
[2018/05/22 12:57:09 156] transport  746  net type:  wifi  
[2018/05/22 12:57:09 156] transport  747  net operator:  def  
[2018/05/22 12:57:09 156] transport  748  use proxy:  false  
[2018/05/22 12:57:09 156] network    80   ipfromenv ,  ipcache  dev.voicecloud.cn  def  42.62.116.35  
[2018/05/22 12:57:09 156] transport  913  using cached ip:  42.62.116.35  
[2018/05/22 12:57:09 156] transport  930  try preferred port:  80  
[2018/05/22 12:57:09 157] transport  948  ns_i =  nil  
[2018/05/22 12:57:09 157] transport  1023 [soc] connect   42.62.116.35  80  
[2018/05/22 12:57:09 157] isr_1conn  1693 ISR_MSG_AUW  14080  2  
[2018/05/22 12:57:09 157] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 157] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 158] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 169] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 179] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 189] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 198] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 208] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 209] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 220] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 230] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 239] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 250] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 260] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 271] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 281] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 291] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 300] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 311] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 321] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 331] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 341] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 352] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 361] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 373] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 383] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 393] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 403] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 412] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 424] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 434] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 444] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 453] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 464] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 470] isr_1conn  239  netperf:  97  
[2018/05/22 12:57:09 475] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 484] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 494] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:09 504] isr_1conn  1693 ISR_MSG_AUW  320  2  
